Zip,Municipality,Group Admin One,Group Admin Two,Group Admin Three,Group Admin Four,Group Admin Five,Group Admin Notification Email
01908,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01910,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01915,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01921,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01922,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01923,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01929,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01930,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01931,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01936,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01938,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01940,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01944,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01945,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01949,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01950,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01951,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01952,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01960,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01961,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01966,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01969,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01970,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01971,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01983,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01984,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
01985,North Shore,aanorthshoretest@mbta.com,cnnorthshoretest@mbta.com,,,,aanorthshoretest@mbta.com
02169,Quincy,thquincytest@mbta.com,wmquincytest@mbta.com,hmquincytest@mbta.com,,,thquincytest@mbta.com
02170,Quincy,thquincytest@mbta.com,wmquincytest@mbta.com,hmquincytest@mbta.com,,,thquincytest@mbta.com
02171,Quincy,thquincytest@mbta.com,wmquincytest@mbta.com,hmquincytest@mbta.com,,,thquincytest@mbta.com
02269,Quincy,thquincytest@mbta.com,wmquincytest@mbta.com,hmquincytest@mbta.com,,,thquincytest@mbta.com
02151,Revere,spreveretest@mbta.com,rcreveretest@mbta.com,,,,spreveretest@mbta.com
02143,Somerville,nbsomervilletest@mbta.com,jttsomervilletest@mbta.com,,,,nbsomervilletest@mbta.com
02144,Somerville,nbsomervilletest@mbta.com,jttsomervilletest@mbta.com,,,,nbsomervilletest@mbta.com
02145,Somerville,nbsomervilletest@mbta.com,jttsomervilletest@mbta.com,,,,nbsomervilletest@mbta.com
01880,Wakefield,sdwakefieldtest@mbta.com,smwakefieldtest@mbta.com,,,,sdwakefieldtest@mbta.com
02471,Watertown,ssfwatertowntest@mbta.com,mrwatertowntest@mbta.com,,,,ssfwatertowntest@mbta.com
02472,Watertown,ssfwatertowntest@mbta.com,mrwatertowntest@mbta.com,,,,ssfwatertowntest@mbta.com
02477,Watertown,ssfwatertowntest@mbta.com,mrwatertowntest@mbta.com,,,,ssfwatertowntest@mbta.com
